fips,name,state,lat,lon,population
13165,13165,,32.7945631,-81.9715244,8693
13167,13167,,32.6945842,-82.6639696,9272
13169,13169,,33.0216636,-83.5621958,28297
13171,13171,,33.0744405,-84.1466893,18482
13173,13173,,31.0381973,-83.0631635,9874
13175,13175,,32.3932197,-82.9263171,49202
13177,13177,,31.8184185,-84.1466814,32547
13179,13179,,31.8074582,-81.4578709,64334
13181,13181,,33.7921507,-82.4482992,7686
13183,13183,,31.7495633,-81.7428697,16398
13185,13185,,30.833145,-83.2689952,117437
13187,13187,,34.5681403,-83.9989251,33188
13189,13189,,33.4806126,-82.4795333,21727
13191,13191,,31.485629,-81.3721413,11291
13193,13193,,32.3626859,-84.0512306,12330
13195,13195,,34.1285257,-83.2037373,29906
13197,13197,,32.3593118,-84.5287354,7563
13199,13199,,33.0292666,-84.6670579,20659
13201,13201,,31.1629309,-84.7303983,5984
13205,13205,,31.228997,-84.192038,21940
13207,13207,,33.0174037,-83.9228373,27825
13209,13209,,32.1721081,-82.5333487,8701
13211,13211,,33.5986957,-83.4994346,19694
13213,13213,,34.7970974,-84.7379899,39853
13215,13215,,32.510197,-84.874946,204366
13217,13217,,33.5527507,-83.8513597,111262
13219,13219,,33.8341247,-83.4377284,41006
13221,13221,,33.8668062,-83.0740805,14779
13223,13223,,33.9210299,-84.8671693,165688
13225,13225,,32.5713241,-83.8319779,27822
13227,13227,,34.4567464,-84.4903508,32814
13229,13229,,31.353998,-82.2103703,19644
13231,13231,,33.0811487,-84.3894621,18754
13233,13233,,33.9960153,-85.1883384,42692
13235,13235,,32.2388026,-83.4818454,10001
13237,13237,,33.3210605,-83.3717898,21870
13239,13239,,31.8629381,-85.0047978,2249
13241,13241,,34.8839345,-83.4048701,16731
13243,13243,,31.762651,-84.7523108,6503
13245,13245,,33.3614863,-82.0749982,205772
13247,13247,,33.6520811,-84.0263696,92983
13249,13249,,32.2634439,-84.3227083,4622
13251,13251,,32.7447512,-81.6175849,14028
13253,13253,,30.9339599,-84.8676853,9108
13255,13255,,33.2623481,-84.2849046,66722
13257,13257,,34.5535825,-83.2905877,26641
13259,13259,,32.073225,-84.8349117,5347
13261,13261,,32.0422659,-84.2042935,29690
13263,13263,,32.7046026,-84.5300288,5837
13265,13265,,33.559319,-82.8752721,1574
13267,13267,,32.0437683,-82.0592081,23211
13269,13269,,32.5546668,-84.2514261,7857
13271,13271,,31.9136406,-82.9310634,12860
13273,13273,,31.7771909,-84.4394464,9102
13275,13275,,30.8646195,-83.9198155,45669
13277,13277,,31.4570027,-83.5259307,41148
13279,13279,,32.1177534,-82.3305967,26956
13281,13281,,34.9025294,-83.7322645,12300
13283,13283,,32.4095857,-82.5708819,6410
13285,13285,,33.034482,-85.02836,69483
13287,13287,,31.7248005,-83.6203195,8856
13289,13289,,32.6658469,-83.4258792,8034
13291,13291,,34.833333,-83.9892568,24183
13293,13293,,32.8818367,-84.2922831,27424
13295,13295,,34.735802,-85.3054565,67772
13297,13297,,33.7838866,-83.731829,95453
13299,13299,,31.050881,-82.4215072,36084
13301,13301,,33.4191691,-82.6880123,5218
13303,13303,,32.9718435,-82.7981123,20052
13305,13305,,31.5478449,-81.9123763,30118
13307,13307,,32.0466911,-84.5538279,2372
13309,13309,,32.105258,-82.7338492,7568
13311,13311,,34.6441817,-83.7430004,27886
13313,13313,,34.8017261,-84.968541,103076
13315,13315,,31.9627199,-83.4382586,8841
13317,13317,,33.7790312,-82.7479211,9643
13319,13319,,32.8042663,-83.1755122,8931
13321,13321,,31.5517733,-83.8499598,20824
15001,15001,,19.5977643,-155.5024434,200468
15003,15003,,21.4613654,-158.201974,1015167
15007,15007,,22.0120383,-159.7059653,73247
15009,15009,,20.8559308,-156.6015502,164568
16001,16001,,43.4514767,-116.244376,485246
16003,16003,,44.877004,-116.4616241,4321
16005,16005,,42.6929211,-112.2289819,86362
16007,16007,,42.2858922,-111.3275168,6327
16009,16009,,47.2184513,-116.6335414,9509
16011,16011,,43.2163568,-112.3992058,47540
16013,16013,,43.394192,-113.9553713,23868
16015,16015,,43.9872749,-115.7151105,7549
16017,16017,,48.3167955,-116.612362,46481
16019,16019,,43.3951708,-111.6218783,121771
16021,16021,,48.7731313,-116.5246676,11966
16023,16023,,43.685101,-113.1776308,2573
16025,16025,,43.5025515,-114.7721349,1044
16027,16027,,43.6257956,-116.709058,227367
16029,16029,,42.7860724,-111.5442734,7003
16031,16031,,42.282313,-113.6263276,24469
16033,16033,,44.290218,-112.3546128,839
16035,16035,,46.67257,-115.6535003,8719
16037,16037,,44.273351,-114.2522675,4273
16039,16039,,43.3946984,-115.471205,28396
16041,16041,,42.1736093,-111.8229653,14036
16043,16043,,44.2180909,-111.484429,13370
16045,16045,,44.0614727,-116.3987839,18692
16047,16047,,42.9731849,-114.8214203,15422
16049,16049,,45.849644,-115.4673371,16494
16051,16051,,43.7969649,-112.3185879,30427
16053,16053,,42.6913953,-114.2620858,24081
16055,16055,,47.6759569,-116.6959192,168317
16057,16057,,46.8189202,-116.7309737,39464
16059,16059,,44.9285059,-113.8870422,7948
16061,16061,,46.2363277,-116.42376,3613
16063,16063,,42.9907824,-114.1530888,5184
16065,16065,,43.788614,-111.6569925,50979
16067,16067,,42.8572114,-113.6398404,21393
16069,16069,,46.3337914,-116.7609091,41820
16071,16071,,42.1838954,-112.5204486,4514
16073,16073,,42.5728508,-116.1896903,11815
16075,16075,,44.00243,-116.7502379,24928
16077,16077,,42.694126,-112.844407,7854
16079,16079,,47.3476935,-115.8850916,13124
16081,16081,,43.7609939,-111.2117653,11490
16083,16083,,42.352309,-114.6656386,89128
16085,16085,,44.8559596,-115.6180612,11476
16087,16087,,44.4482229,-116.7977917,10425
17001,17001,,39.9860525,-91.1949607,65878
17003,17003,,37.1836583,-89.3495158,5488
17005,17005,,38.885924,-89.4365916,16804
17007,17007,,42.3189831,-88.8242951,53592
17009,17009,,39.9620694,-90.7503095,6330
17011,17011,,41.4013043,-89.5283772,33338
17013,17013,,39.1642619,-90.6662948,4537
17015,17015,,42.0709,-89.9241894,15586
17017,17017,,39.9692024,-90.2457045,13058
17019,17019,,40.1389845,-88.1969749,206583
17021,17021,,39.5455242,-89.2795927,34038
17023,17023,,39.3323343,-87.7916832,15587
17025,17025,,38.7468187,-88.4823254,13313
17027,17027,,38.6062953,-89.4262278,37048
17029,17029,,39.5136797,-88.220782,47542
17031,17031,,41.8942937,-87.6454546,5265398
17033,17033,,39.0027865,-87.7606193,18825
17035,17035,,39.273121,-88.2406193,10528
17037,17037,,41.8946125,-88.768991,100922
17039,17039,,40.1814993,-88.9018526,15653
